word	sense_number	usage_note	definition
désimlocker	1	[]	Débloquer un téléphone portable verrouillé par un opérateur contractuel de téléphonie mobile afin de permettre d'utiliser une carte SIM de n'importe quel opérateur.
tirer la langue	1		Avancer la langue hors de la bouche en signe de défi, de mépris ou simplement d'amusement.
tirer la langue	2	[]	Montrer des signes de fatigue.
tirer la langue	3	[]	Souffrir quelque problème financier.
tirer la langue	4	[]	Languir.
contretirer	1	[]	Faire la contrépreuve d'une estampe, d'un dessin.
capsuler	1		Mettre une capsule.
capsuler	2	[]	Action de percuter la capsule d'un fusil à piston sans que le coup ne parte.
tirer parti	1		Utiliser quelque chose à son avantage.
noyauter	1		Faire de l'entrisme, prendre le pouvoir au cœur d'une organisation.
viviparement	1		À la façon des vivipares.
cléricaliser	1		Inspirer l'esprit de cléricalisme.
désétablir	1		Faire cesser un établissement, une institution.
désétablir	2		Particulièrement, ôter à l'Église anglicane les droits et privilèges dont elle jouit en tant qu'Eglise nationale.
tractativement	1		En traitant, par un traité.
déclassifier	1	[]	Défaire une classification.
déclassifier	2		Enlever son caractère secret en parlant de documents militaires ou gouvernementaux.
déclassifier	3	[]	Sortir des classifications.
préaviser	1		Aviser d'avance, préavertir.
préaviser	2		Donner un préavis.
par défaut	1		En l'absence d'instructions ou d'intervention extérieure, ou d'une autre possibilité.
par défaut	2	[]	En dessous de la valeur exacte.
avoir le dernier mot	1	[]	Être le dernier à intervenir, à parler, dans une discussion conflictuelle, et par la même, prendre l'avantage.
ficher la paix	1	[]	Laisser tranquille.
frisoter	1		Friser souvent et par menues boucles. Il ne se dit guère que par plaisanterie.
foutre la paix	1	[]	Laisser tranquille.
bombiner	1	[]	Bourdonner.
s'en ficher	1	['attitudinal:péjoratif']	Ne pas y attacher d'importance.
mettre à la voile	1	[]	Appareiller
rouscailler	1	['gram:intransitif']	Manifester sa mauvaise humeur, son mécontentement, maugréer, protester, râler, ronchonner, rouspéter.
rouscailler	2	['gram:transitif']	Parler, jaspiner.
rupiner	1	[]	Bosser, bucher, potasser, travailler à fond.
rupiner	2	[]	Briller, réussir.
margotter	1		Pousser son cri, en parlant du mâle de la caille lorsqu'il est en période de reproduction.
margotter	2	[]	Cri du chat ou de la chatte cherchant une compagne ou un compagnon.
margoter	1	[]	voir margotter.
margauder	1		Pousser son cri, en parlant du male de la caille lorsqu'il est en période de reproduction.
équartiller	1	[]	Écarteler.
équartiller	2	[]	Écarquiller
rabioter	1	[]	S'attribuer, obtenir un supplément, gagner, grappiller, gratter.
rabioter	2		Retenir pour soi une partie de ce qu'on devrait donner, grignoter sur ce qu'on doit.
